Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-06 10:30:41,-1063,48.0,-760.0,-760.0,-659.0
2024-12-06 10:33:32,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:25,48,48.0,48.0,48.0,48.0
2024-12-06 10:28:21,48,48.0,48.0,48.0,48.0
2024-12-06 10:30:12,-760,-255.0,-255.0,-861.0,-760.0
2024-12-06 10:34:22,-659,-255.0,-255.0,-760.0,-861.0
2024-12-06 10:33:35,-659,-659.0,-1063.0,-760.0,-760.0
2024-12-06 10:28:19,-53,48.0,48.0,-154.0,48.0
2024-12-06 10:28:26,-861,48.0,-154.0,-861.0,48.0
2024-12-06 10:30:24,-1063,48.0,136.0,-962.0,48.0
2024-12-06 10:34:14,-760,-659.0,-962.0,-962.0,-558.0
2024-12-06 10:33:03,-255,-861.0,-53.0,48.0,48.0
2024-12-06 10:28:10,48,48.0,48.0,-154.0,48.0
2024-12-06 10:33:04,368,48.0,528.0,48.0,528.0
2024-12-06 10:34:13,48,198.0,48.0,48.0,198.0
2024-12-06 10:28:28,-255,48.0,48.0,-255.0,-154.0
2024-12-06 10:30:23,-1366,-861.0,-962.0,-861.0,-861.0
2024-12-06 10:28:17,-659,-760.0,-760.0,-962.0,-760.0
2024-12-06 10:29:43,48,48.0,48.0,-356.0,115.0
2024-12-06 10:31:48,48,48.0,138.0,48.0,488.0
2024-12-06 10:32:50,-659,48.0,-1164.0,-1164.0,125.0
2024-12-06 10:35:47,48,-356.0,-356.0,-1063.0,-558.0
2024-12-06 10:36:58,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:44,-104,78.0,286.0,-962.0,407.0
2024-12-06 10:35:40,48,-760.0,-659.0,-760.0,-962.0
2024-12-06 10:32:57,-962,-558.0,-1265.0,-558.0,-53.0
2024-12-06 10:36:51,48,48.0,48.0,48.0,48.0
2024-12-06 10:31:46,-559,78.0,327.0,-457.0,-46.0
2024-12-06 10:32:59,-356,-760.0,-558.0,-962.0,-558.0
2024-12-06 10:31:41,-356,-53.0,-861.0,-861.0,48.0
2024-12-06 10:36:56,-659,48.0,-1063.0,-861.0,-255.0
2024-12-06 10:35:25,48,48.0,48.0,48.0,48.0
2024-12-06 10:32:32,-861,48.0,48.0,-659.0,48.0
2024-12-06 10:36:02,-356,48.0,48.0,-154.0,-760.0
2024-12-06 10:31:15,-457,48.0,86.0,-1063.0,126.0
2024-12-06 10:29:21,108,78.0,357.0,-154.0,48.0
2024-12-06 10:31:12,-53,48.0,-154.0,-457.0,-154.0
2024-12-06 10:36:05,48,48.0,48.0,-558.0,48.0
2024-12-06 10:32:35,-659,-962.0,-861.0,-1063.0,-53.0
2024-12-06 10:35:22,-861,-558.0,367.0,-962.0,407.0
2024-12-06 10:29:19,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:26,-760,-861.0,-659.0,-962.0,-962.0
2024-12-06 10:31:24,48,48.0,48.0,48.0,48.0
2024-12-06 10:36:33,-760,88.0,48.0,-861.0,-1164.0
2024-12-06 10:32:03,48,48.0,48.0,48.0,48.0
2024-12-06 10:35:14,-861,-558.0,-457.0,-659.0,-659.0
2024-12-06 10:29:10,-154,48.0,-154.0,48.0,-457.0
2024-12-06 10:35:13,-167,-255.0,316.0,-307.0,427.0
2024-12-06 10:32:04,48,48.0,438.0,48.0,508.0
2024-12-06 10:29:28,-659,-558.0,-457.0,-962.0,-558.0
2024-12-06 10:36:34,-154,-760.0,-861.0,-962.0,-760.0
2024-12-06 10:31:23,-659,-861.0,-457.0,-861.0,-760.0
2024-12-06 10:29:17,-760,48.0,-861.0,-1467.0,-457.0
2024-12-06 10:32:58,-1063,98.0,-356.0,-1063.0,-356.0
2024-12-06 10:36:57,-255,48.0,48.0,-255.0,48.0
2024-12-06 10:31:40,-1164,168.0,258.0,-356.0,198.0
