Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-05 21:53:34,16,26.0,96.0,16.0,156.0
2024-12-05 21:54:23,96,46.0,146.0,176.0,176.0
2024-12-05 22:00:00,-287,-489.0,96.0,-489.0,-792.0
2024-12-05 21:48:18,16,16.0,116.0,16.0,16.0
2024-12-05 21:47:50,16,46.0,146.0,16.0,166.0
2024-12-05 21:50:13,16,16.0,16.0,16.0,16.0
2024-12-05 21:57:04,16,16.0,16.0,16.0,16.0
2024-12-05 21:48:27,16,16.0,56.0,16.0,16.0
2024-12-05 22:03:18,76,66.0,166.0,16.0,166.0
2024-12-05 21:54:48,-792,16.0,-186.0,-85.0,46.0
2024-12-05 21:58:27,-186,156.0,156.0,-489.0,26.0
2024-12-05 21:47:04,16,16.0,16.0,16.0,16.0
2024-12-05 22:00:54,36,16.0,166.0,16.0,16.0
2024-12-05 21:57:50,16,16.0,16.0,16.0,16.0
2024-12-05 21:58:18,36,16.0,-156.0,16.0,-25.0
2024-12-05 21:50:47,16,16.0,-186.0,16.0,16.0
2024-12-05 21:58:20,16,16.0,86.0,16.0,16.0
2024-12-05 21:53:58,16,16.0,16.0,16.0,-85.0
2024-12-05 21:50:40,166,16.0,75.0,16.0,16.0
2024-12-05 21:57:57,16,46.0,96.0,-489.0,66.0
2024-12-05 21:47:03,56,16.0,136.0,16.0,136.0
2024-12-05 22:00:53,16,146.0,76.0,16.0,146.0
2024-12-05 21:58:16,126,66.0,166.0,16.0,166.0
2024-12-05 21:50:49,-186,46.0,126.0,-489.0,16.0
2024-12-05 21:48:42,45,16.0,146.0,16.0,16.0
2024-12-05 21:58:29,66,16.0,166.0,16.0,176.0
2024-12-05 21:53:51,86,46.0,-66.0,-106.0,176.0
2024-12-05 21:54:46,86,16.0,96.0,16.0,16.0
2024-12-05 21:47:35,-5,16.0,-489.0,16.0,16.0
2024-12-05 21:48:45,-25,56.0,46.0,-85.0,-590.0
2024-12-05 21:57:59,16,16.0,166.0,16.0,16.0
2024-12-05 21:58:11,16,16.0,86.0,5.0,-26.0
2024-12-05 21:47:32,16,16.0,5.0,16.0,166.0
2024-12-05 21:54:41,56,-186.0,126.0,16.0,156.0
2024-12-05 21:53:56,-287,46.0,35.0,-277.0,76.0
2024-12-05 21:57:05,-893,-287.0,16.0,-994.0,-994.0
2024-12-05 21:50:12,-186,16.0,-85.0,-287.0,16.0
2024-12-05 21:54:22,16,16.0,16.0,16.0,16.0
2024-12-05 21:53:35,-691,-328.0,-388.0,-691.0,-388.0
2024-12-05 22:00:01,-186,16.0,-186.0,-590.0,16.0
2024-12-05 21:47:51,-1095,46.0,-691.0,-792.0,-590.0
2024-12-05 21:48:19,16,16.0,16.0,16.0,16.0
2024-12-05 22:03:19,76,16.0,75.0,176.0,75.0
2024-12-05 21:48:26,-65,16.0,106.0,16.0,16.0
2024-12-05 22:00:06,65,-994.0,176.0,-580.0,-388.0
2024-12-05 21:47:56,16,16.0,16.0,16.0,16.0
2024-12-05 21:53:32,16,16.0,16.0,16.0,16.0
2024-12-05 21:54:25,16,16.0,16.0,16.0,16.0
2024-12-05 22:03:21,86,46.0,86.0,16.0,16.0
2024-12-05 21:50:15,86,-590.0,16.0,16.0,16.0
2024-12-05 21:57:02,-388,76.0,166.0,-449.0,-580.0
2024-12-05 21:48:21,-661,16.0,-186.0,-489.0,136.0
2024-12-05 22:00:39,-893,-85.0,106.0,16.0,136.0
2024-12-05 21:53:04,76,36.0,-26.0,-489.0,65.0
2024-12-05 21:54:13,-186,26.0,-187.0,16.0,56.0
2024-12-05 21:48:28,-258,-46.0,-167.0,-146.0,166.0
2024-12-05 22:00:30,45,66.0,156.0,176.0,-46.0
2024-12-05 21:50:23,56,106.0,86.0,-489.0,-186.0
2024-12-05 21:57:34,-388,16.0,46.0,16.0,-489.0
2024-12-05 22:03:17,-287,-186.0,16.0,-85.0,-85.0
2024-12-05 21:48:17,16,46.0,136.0,-186.0,156.0
2024-12-05 21:58:43,-792,-85.0,116.0,16.0,65.0
2024-12-05 22:03:10,46,16.0,76.0,16.0,136.0
2024-12-05 21:57:33,16,16.0,16.0,16.0,16.0
2024-12-05 21:50:24,16,-85.0,-388.0,-186.0,16.0
2024-12-05 22:00:37,-287,-489.0,146.0,-489.0,-186.0
2024-12-05 21:54:14,16,66.0,166.0,16.0,16.0
2024-12-05 21:53:03,16,66.0,166.0,16.0,166.0
2024-12-05 21:58:44,16,16.0,126.0,16.0,16.0
2024-12-05 22:00:08,16,16.0,66.0,16.0,16.0
2024-12-05 21:47:58,-85,16.0,16.0,-186.0,16.0
2024-12-05 21:48:10,-590,16.0,-186.0,-792.0,-287.0
2024-12-05 21:58:10,116,16.0,-388.0,-85.0,-166.0
2024-12-05 21:57:58,36,16.0,55.0,16.0,166.0
2024-12-05 21:48:44,16,46.0,75.0,176.0,146.0
2024-12-05 21:47:33,-893,16.0,-590.0,-994.0,-691.0
2024-12-05 21:53:57,116,16.0,166.0,16.0,166.0
2024-12-05 21:54:40,16,176.0,176.0,16.0,16.0
2024-12-05 21:48:43,-166,16.0,156.0,16.0,166.0
2024-12-05 21:50:48,16,-287.0,16.0,-85.0,-85.0
2024-12-05 21:58:17,16,16.0,-287.0,-388.0,-287.0
2024-12-05 21:54:47,-176,16.0,166.0,-56.0,156.0
2024-12-05 21:53:50,-156,16.0,46.0,-388.0,96.0
2024-12-05 21:47:34,26,16.0,56.0,16.0,16.0
2024-12-05 21:58:28,-590,16.0,126.0,-489.0,55.0
2024-12-05 21:53:59,-106,96.0,156.0,-590.0,136.0
2024-12-05 21:58:21,-691,-590.0,-489.0,-691.0,126.0
2024-12-05 21:47:02,-388,26.0,166.0,16.0,156.0
2024-12-05 22:00:52,16,16.0,16.0,16.0,16.0
2024-12-05 21:57:56,16,16.0,156.0,166.0,16.0
2024-12-05 21:50:41,16,16.0,16.0,16.0,16.0
2024-12-05 21:58:26,46,16.0,166.0,16.0,16.0
2024-12-05 21:54:49,146,-287.0,-287.0,-85.0,16.0
2024-12-05 21:50:46,16,16.0,106.0,16.0,16.0
2024-12-05 21:58:19,-186,16.0,-85.0,16.0,-590.0
2024-12-05 21:57:51,86,16.0,146.0,16.0,16.0
2024-12-05 21:47:05,-590,-156.0,146.0,16.0,156.0
2024-12-05 22:00:55,16,46.0,156.0,16.0,16.0
2024-12-05 21:47:27,-85,-388.0,-96.0,-893.0,16.0
2024-12-05 21:53:43,-186,16.0,156.0,16.0,166.0
2024-12-05 21:58:04,-287,16.0,106.0,16.0,16.0
2024-12-05 22:00:48,-85,16.0,16.0,16.0,66.0
2024-12-05 21:48:50,-186,16.0,16.0,16.0,16.0
2024-12-05 21:47:18,-85,-85.0,-85.0,-388.0,16.0
2024-12-05 21:53:44,-85,16.0,16.0,16.0,16.0
2024-12-05 21:54:53,16,16.0,176.0,176.0,176.0
2024-12-05 21:48:57,-287,16.0,-1095.0,-792.0,-691.0
2024-12-05 21:58:03,-85,16.0,-85.0,-691.0,16.0
2024-12-05 22:00:46,76,65.0,65.0,-287.0,-25.0
2024-12-05 21:47:16,-85,16.0,45.0,-792.0,16.0
2024-12-05 21:50:55,16,16.0,16.0,16.0,16.0
2024-12-05 21:57:42,-186,-388.0,16.0,-287.0,-85.0
2024-12-05 21:47:29,16,16.0,166.0,16.0,176.0
